sentence,episode,season,character
What about you? Why do you want to be a soldier? I I decided I have to kill them.,3,1,
I decided I have to slaughter all the Titans with my own two hands.,3,1,
"So, your encounter with the Titans didn't break your will? That's right But now it's a question of whether or not I'm actually cut out to be a soldier.",3,1,
"Start over from scratch, starting with your belt adjustment.",3,1,
You'll do just fine tomorrow.,3,1,
I'm certain of it.,3,1,
"Eren Jaeger, was it? Yeah.",3,1,
Thanks.,3,1,
"Reiner Braun, right? Eren Jaeger.",3,1,
"Are you ready? Yes, Sir! I'm going to do it! I am! I might not have raw aptitude, but no one has more guts than I do! Begin! The hell with logic! I know it's completely baseless! But guts are all I got! They're my weapon! I did it! I'm doing it! N-Not yet! I can still do it! Let him down.",3,1,
I-I'm! Wagner.,3,1,
Switch belts with Jaeger.,3,1,
"Y-Yes, Sir! Your equipment was defective.",3,1,
The belt you were using had a broken clasp.,3,1,
I've never heard of this part breaking before; I guess we'll have to add it to the maintenance checklist.,3,1,
"Then, even with broken equipment, he still managed to?! Whoa! Th-Then, am I fit to be a soldier?! You pass muster.",3,1,
"Train hard! I did it! I did it! Whadya think of that, Mikasa?! I can do it! I can fight the Titans! You can finally stop mollycoddling me! Looks like things worked out for him.",3,1,
"His eyes say, ""What do you think of that?!"" No.",3,1,
He feels relieved that he doesn't have to leave me now.,3,1,
"Grisha Today, your son has become a soldier.",3,1,
"Your dreams are where your heart is They're more fragile than life itself Over and over you cast them aside, only to find more Now, rest in peace Pounding impulses defile the things we wish for and the more we forget the more we remember again In this beautiful, cruel world all I can do is ask why we're still alive Oh, with our strengthand our weakness what are we going to protect if there's no sense to anything anymore? After graduating from the Cadets, Eren sees humanity and its regained dignity.",3,1,
"""We can beat the Titans.",3,1,
""" The moment he feels certain of this, humanity is reminded yet again",3,1,
"In the year 845, the Colossal Titan and the Armored Titan suddenly appeared and destroyed one of humanity's walls and everyday life with it.",4,1,
"And then, finally freed from their century-long hunger, the Titans overran humankind once again.",4,1,
"Stop! Humanity abandoned Wall Maria, lost 20% of its population and one-third of its territory, and was forced to retreat behind Wall Rose.",4,1,
